Matchday,Date,Home Team,Away Team,Home Score,Away Score
22,2025-02-15T20:05:00Z,Toulouse FC,Paris Saint-Germain FC,0.0,1.0
22,2025-02-16T14:00:00Z,Montpellier HSC,Olympique Lyonnais,1.0,4.0
22,2025-02-16T16:15:00Z,Racing Club de Lens,RC Strasbourg Alsace,0.0,2.0
22,2025-02-16T16:15:00Z,Stade de Reims,Angers SCO,0.0,1.0
22,2025-02-16T16:15:00Z,Le Havre AC,OGC Nice,1.0,3.0
22,2025-02-16T19:45:00Z,Stade Rennais FC 1901,Lille OSC,0.0,2.0
23,2025-02-23T00:00:00Z,Stade Rennais FC 1901,Stade de Reims,1.0,0.0
23,2025-02-23T00:00:00Z,Le Havre AC,Toulouse FC,1.0,4.0
23,2025-02-23T00:00:00Z,Lille OSC,AS Monaco FC,2.0,1.0
23,2025-02-23T00:00:00Z,RC Strasbourg Alsace,Stade Brestois 29,0.0,0.0
23,2025-02-23T00:00:00Z,FC Nantes,Racing Club de Lens,3.0,1.0
23,2025-02-23T00:00:00Z,AS Saint-Étienne,Angers SCO,3.0,3.0
23,2025-02-23T00:00:00Z,AJ Auxerre,Olympique de Marseille,3.0,0.0
23,2025-02-23T00:00:00Z,OGC Nice,Montpellier HSC,2.0,0.0
23,2025-02-23T00:00:00Z,Olympique Lyonnais,Paris Saint-Germain FC,2.0,3.0
24,2025-03-02T00:00:00Z,Paris Saint-Germain FC,Lille OSC,,
24,2025-03-02T00:00:00Z,Olympique de Marseille,FC Nantes,,
24,2025-03-02T00:00:00Z,Olympique Lyonnais,Stade Brestois 29,,
24,2025-03-02T00:00:00Z,Montpellier HSC,Stade Rennais FC 1901,,
24,2025-03-02T00:00:00Z,AS Saint-Étienne,OGC Nice,,
24,2025-03-02T00:00:00Z,Racing Club de Lens,Le Havre AC,,
24,2025-03-02T00:00:00Z,AJ Auxerre,RC Strasbourg Alsace,,
24,2025-03-02T00:00:00Z,AS Monaco FC,Stade de Reims,,
24,2025-03-02T00:00:00Z,Angers SCO,Toulouse FC,,
25,2025-03-09T00:00:00Z,Le Havre AC,AS Saint-Étienne,,
25,2025-03-09T00:00:00Z,Stade de Reims,AJ Auxerre,,
25,2025-03-09T00:00:00Z,FC Nantes,RC Strasbourg Alsace,,
25,2025-03-09T00:00:00Z,Toulouse FC,AS Monaco FC,,
25,2025-03-09T00:00:00Z,OGC Nice,Olympique Lyonnais,,
25,2025-03-09T00:00:00Z,Stade Brestois 29,Angers SCO,,
25,2025-03-09T00:00:00Z,Lille OSC,Montpellier HSC,,
25,2025-03-09T00:00:00Z,Stade Rennais FC 1901,Paris Saint-Germain FC,,
25,2025-03-09T00:00:00Z,Olympique de Marseille,Racing Club de Lens,,
26,2025-03-16T00:00:00Z,Paris Saint-Germain FC,Olympique de Marseille,,
26,2025-03-16T00:00:00Z,OGC Nice,AJ Auxerre,,
26,2025-03-16T00:00:00Z,Montpellier HSC,AS Saint-Étienne,,
26,2025-03-16T00:00:00Z,Stade Brestois 29,Stade de Reims,,
26,2025-03-16T00:00:00Z,Olympique Lyonnais,Le Havre AC,,
26,2025-03-16T00:00:00Z,Racing Club de Lens,Stade Rennais FC 1901,,
26,2025-03-16T00:00:00Z,RC Strasbourg Alsace,Toulouse FC,,
26,2025-03-16T00:00:00Z,FC Nantes,Lille OSC,,
26,2025-03-16T00:00:00Z,Angers SCO,AS Monaco FC,,
27,2025-03-30T00:00:00Z,Angers SCO,Stade Rennais FC 1901,,
27,2025-03-30T00:00:00Z,AJ Auxerre,Montpellier HSC,,
27,2025-03-30T00:00:00Z,Le Havre AC,FC Nantes,,
27,2025-03-30T00:00:00Z,RC Strasbourg Alsace,Olympique Lyonnais,,
27,2025-03-30T00:00:00Z,Toulouse FC,Stade Brestois 29,,
27,2025-03-30T00:00:00Z,AS Saint-Étienne,Paris Saint-Germain FC,,
27,2025-03-30T00:00:00Z,Stade de Reims,Olympique de Marseille,,
27,2025-03-30T00:00:00Z,Lille OSC,Racing Club de Lens,,
27,2025-03-30T00:00:00Z,AS Monaco FC,OGC Nice,,
28,2025-04-06T00:00:00Z,Olympique de Marseille,Toulouse FC,,
28,2025-04-06T00:00:00Z,OGC Nice,FC Nantes,,
28,2025-04-06T00:00:00Z,Stade Brestois 29,AS Monaco FC,,
28,2025-04-06T00:00:00Z,Montpellier HSC,Le Havre AC,,
28,2025-04-06T00:00:00Z,Olympique Lyonnais,Lille OSC,,
28,2025-04-06T00:00:00Z,Racing Club de Lens,AS Saint-Étienne,,
28,2025-04-06T00:00:00Z,Paris Saint-Germain FC,Angers SCO,,
28,2025-04-06T00:00:00Z,Stade de Reims,RC Strasbourg Alsace,,
28,2025-04-06T00:00:00Z,Stade Rennais FC 1901,AJ Auxerre,,
29,2025-04-13T00:00:00Z,Toulouse FC,Lille OSC,,
29,2025-04-13T00:00:00Z,Le Havre AC,Stade Rennais FC 1901,,
29,2025-04-13T00:00:00Z,AJ Auxerre,Olympique Lyonnais,,
29,2025-04-13T00:00:00Z,FC Nantes,Paris Saint-Germain FC,,
29,2025-04-13T00:00:00Z,RC Strasbourg Alsace,OGC Nice,,
29,2025-04-13T00:00:00Z,AS Saint-Étienne,Stade Brestois 29,,
29,2025-04-13T00:00:00Z,Angers SCO,Montpellier HSC,,
29,2025-04-13T00:00:00Z,Racing Club de Lens,Stade de Reims,,
29,2025-04-13T00:00:00Z,AS Monaco FC,Olympique de Marseille,,
30,2025-04-20T00:00:00Z,AS Saint-Étienne,Olympique Lyonnais,,
30,2025-04-20T00:00:00Z,OGC Nice,Angers SCO,,
30,2025-04-20T00:00:00Z,Stade Brestois 29,Racing Club de Lens,,
30,2025-04-20T00:00:00Z,Lille OSC,AJ Auxerre,,
30,2025-04-20T00:00:00Z,Paris Saint-Germain FC,Le Havre AC,,
30,2025-04-20T00:00:00Z,Olympique de Marseille,Montpellier HSC,,
30,2025-04-20T00:00:00Z,Stade de Reims,Toulouse FC,,
30,2025-04-20T00:00:00Z,AS Monaco FC,RC Strasbourg Alsace,,
30,2025-04-20T00:00:00Z,Stade Rennais FC 1901,FC Nantes,,
31,2025-04-27T00:00:00Z,Le Havre AC,AS Monaco FC,,
31,2025-04-27T00:00:00Z,RC Strasbourg Alsace,AS Saint-Étienne,,
31,2025-04-27T00:00:00Z,FC Nantes,Toulouse FC,,
31,2025-04-27T00:00:00Z,Montpellier HSC,Stade de Reims,,
31,2025-04-27T00:00:00Z,Racing Club de Lens,AJ Auxerre,,
31,2025-04-27T00:00:00Z,Angers SCO,Lille OSC,,
31,2025-04-27T00:00:00Z,Paris Saint-Germain FC,OGC Nice,,
31,2025-04-27T00:00:00Z,Olympique de Marseille,Stade Brestois 29,,
