Matchday,Date,Home Team,Away Team,Home Score,Away Score
24,2025-02-08T19:45:00Z,Torino FC,Genoa CFC,1.0,1.0
24,2025-02-09T11:30:00Z,Venezia FC,AS Roma,0.0,1.0
24,2025-02-09T14:00:00Z,Cagliari Calcio,Parma Calcio 1913,2.0,1.0
24,2025-02-09T14:00:00Z,SS Lazio,AC Monza,5.0,1.0
24,2025-02-09T17:00:00Z,US Lecce,Bologna FC 1909,0.0,0.0
24,2025-02-09T19:45:00Z,SSC Napoli,Udinese Calcio,1.0,1.0
24,2025-02-10T19:45:00Z,FC Internazionale Milano,ACF Fiorentina,2.0,1.0
25,2025-02-14T19:45:00Z,Bologna FC 1909,Torino FC,3.0,2.0
25,2025-02-15T14:00:00Z,Atalanta BC,Cagliari Calcio,0.0,0.0
25,2025-02-15T17:00:00Z,SS Lazio,SSC Napoli,2.0,2.0
25,2025-02-15T19:45:00Z,AC Milan,Hellas Verona FC,1.0,0.0
25,2025-02-16T11:30:00Z,ACF Fiorentina,Como 1907,0.0,2.0
25,2025-02-16T14:00:00Z,AC Monza,US Lecce,0.0,0.0
25,2025-02-16T14:00:00Z,Udinese Calcio,Empoli FC,3.0,0.0
25,2025-02-16T17:00:00Z,Parma Calcio 1913,AS Roma,0.0,1.0
25,2025-02-16T19:45:00Z,Juventus FC,FC Internazionale Milano,1.0,0.0
25,2025-02-17T19:45:00Z,Genoa CFC,Venezia FC,2.0,0.0
26,2025-02-21T19:45:00Z,US Lecce,Udinese Calcio,0.0,1.0
26,2025-02-22T14:00:00Z,Parma Calcio 1913,Bologna FC 1909,2.0,0.0
26,2025-02-22T14:00:00Z,Venezia FC,SS Lazio,0.0,0.0
26,2025-02-22T17:00:00Z,Torino FC,AC Milan,2.0,1.0
26,2025-02-22T19:45:00Z,FC Internazionale Milano,Genoa CFC,1.0,0.0
26,2025-02-23T11:30:00Z,Como 1907,SSC Napoli,2.0,1.0
26,2025-02-23T14:00:00Z,Hellas Verona FC,ACF Fiorentina,1.0,0.0
26,2025-02-23T17:00:00Z,Empoli FC,Atalanta BC,0.0,5.0
26,2025-02-23T19:45:00Z,Cagliari Calcio,Juventus FC,0.0,1.0
26,2025-02-24T19:45:00Z,AS Roma,AC Monza,4.0,0.0
9,2025-02-27T19:45:00Z,Bologna FC 1909,AC Milan,,
27,2025-02-28T19:45:00Z,ACF Fiorentina,US Lecce,,
27,2025-03-01T14:00:00Z,Atalanta BC,Venezia FC,,
27,2025-03-01T17:00:00Z,SSC Napoli,FC Internazionale Milano,,
27,2025-03-01T19:45:00Z,Udinese Calcio,Parma Calcio 1913,,
27,2025-03-02T11:30:00Z,AC Monza,Torino FC,,
27,2025-03-02T14:00:00Z,Bologna FC 1909,Cagliari Calcio,,
27,2025-03-02T14:00:00Z,Genoa CFC,Empoli FC,,
27,2025-03-02T17:00:00Z,AS Roma,Como 1907,,
27,2025-03-02T19:45:00Z,AC Milan,SS Lazio,,
27,2025-03-03T19:45:00Z,Juventus FC,Hellas Verona FC,,
28,2025-03-07T19:45:00Z,Cagliari Calcio,Genoa CFC,,
28,2025-03-08T14:00:00Z,Como 1907,Venezia FC,,
28,2025-03-08T14:00:00Z,Parma Calcio 1913,Torino FC,,
28,2025-03-08T17:00:00Z,US Lecce,AC Milan,,
28,2025-03-08T19:45:00Z,FC Internazionale Milano,AC Monza,,
28,2025-03-09T11:30:00Z,Hellas Verona FC,Bologna FC 1909,,
28,2025-03-09T14:00:00Z,SSC Napoli,ACF Fiorentina,,
28,2025-03-09T17:00:00Z,Empoli FC,AS Roma,,
28,2025-03-09T19:45:00Z,Juventus FC,Atalanta BC,,
28,2025-03-10T19:45:00Z,SS Lazio,Udinese Calcio,,
29,2025-03-14T19:45:00Z,Genoa CFC,US Lecce,,
29,2025-03-15T14:00:00Z,AC Monza,Parma Calcio 1913,,
29,2025-03-15T14:00:00Z,Udinese Calcio,Hellas Verona FC,,
29,2025-03-15T17:00:00Z,AC Milan,Como 1907,,
29,2025-03-15T19:45:00Z,Torino FC,Empoli FC,,
29,2025-03-16T11:30:00Z,Venezia FC,SSC Napoli,,
29,2025-03-16T14:00:00Z,Bologna FC 1909,SS Lazio,,
29,2025-03-16T14:00:00Z,AS Roma,Cagliari Calcio,,
29,2025-03-16T17:00:00Z,ACF Fiorentina,Juventus FC,,
29,2025-03-16T19:45:00Z,Atalanta BC,FC Internazionale Milano,,
30,2025-03-30T00:00:00Z,Cagliari Calcio,AC Monza,,
30,2025-03-30T00:00:00Z,Como 1907,Empoli FC,,
30,2025-03-30T00:00:00Z,ACF Fiorentina,Atalanta BC,,
30,2025-03-30T00:00:00Z,Hellas Verona FC,Parma Calcio 1913,,
30,2025-03-30T00:00:00Z,FC Internazionale Milano,Udinese Calcio,,
30,2025-03-30T00:00:00Z,Juventus FC,Genoa CFC,,
30,2025-03-30T00:00:00Z,SS Lazio,Torino FC,,
30,2025-03-30T00:00:00Z,US Lecce,AS Roma,,
30,2025-03-30T00:00:00Z,SSC Napoli,AC Milan,,
30,2025-03-30T00:00:00Z,Venezia FC,Bologna FC 1909,,
31,2025-04-06T00:00:00Z,Atalanta BC,SS Lazio,,
31,2025-04-06T00:00:00Z,Bologna FC 1909,SSC Napoli,,
31,2025-04-06T00:00:00Z,Empoli FC,Cagliari Calcio,,
31,2025-04-06T00:00:00Z,Genoa CFC,Udinese Calcio,,
31,2025-04-06T00:00:00Z,US Lecce,Venezia FC,,
31,2025-04-06T00:00:00Z,AC Milan,ACF Fiorentina,,
31,2025-04-06T00:00:00Z,AC Monza,Como 1907,,
31,2025-04-06T00:00:00Z,Parma Calcio 1913,FC Internazionale Milano,,
31,2025-04-06T00:00:00Z,AS Roma,Juventus FC,,
31,2025-04-06T00:00:00Z,Torino FC,Hellas Verona FC,,
32,2025-04-13T00:00:00Z,Atalanta BC,Bologna FC 1909,,
32,2025-04-13T00:00:00Z,Como 1907,Torino FC,,
32,2025-04-13T00:00:00Z,ACF Fiorentina,Parma Calcio 1913,,
32,2025-04-13T00:00:00Z,Hellas Verona FC,Genoa CFC,,
32,2025-04-13T00:00:00Z,FC Internazionale Milano,Cagliari Calcio,,
32,2025-04-13T00:00:00Z,Juventus FC,US Lecce,,
32,2025-04-13T00:00:00Z,SS Lazio,AS Roma,,
32,2025-04-13T00:00:00Z,SSC Napoli,Empoli FC,,
32,2025-04-13T00:00:00Z,Udinese Calcio,AC Milan,,
32,2025-04-13T00:00:00Z,Venezia FC,AC Monza,,
33,2025-04-20T00:00:00Z,Bologna FC 1909,FC Internazionale Milano,,
33,2025-04-20T00:00:00Z,Cagliari Calcio,ACF Fiorentina,,
33,2025-04-20T00:00:00Z,Empoli FC,Venezia FC,,
33,2025-04-20T00:00:00Z,Genoa CFC,SS Lazio,,
33,2025-04-20T00:00:00Z,US Lecce,Como 1907,,
33,2025-04-20T00:00:00Z,AC Milan,Atalanta BC,,
33,2025-04-20T00:00:00Z,AC Monza,SSC Napoli,,
33,2025-04-20T00:00:00Z,Parma Calcio 1913,Juventus FC,,
33,2025-04-20T00:00:00Z,AS Roma,Hellas Verona FC,,
33,2025-04-20T00:00:00Z,Torino FC,Udinese Calcio,,
34,2025-04-27T00:00:00Z,Atalanta BC,US Lecce,,
34,2025-04-27T00:00:00Z,Como 1907,Genoa CFC,,
34,2025-04-27T00:00:00Z,ACF Fiorentina,Empoli FC,,
34,2025-04-27T00:00:00Z,Hellas Verona FC,Cagliari Calcio,,
34,2025-04-27T00:00:00Z,FC Internazionale Milano,AS Roma,,
34,2025-04-27T00:00:00Z,Juventus FC,AC Monza,,
34,2025-04-27T00:00:00Z,SS Lazio,Parma Calcio 1913,,
34,2025-04-27T00:00:00Z,SSC Napoli,Torino FC,,
34,2025-04-27T00:00:00Z,Udinese Calcio,Bologna FC 1909,,
34,2025-04-27T00:00:00Z,Venezia FC,AC Milan,,
35,2025-05-04T00:00:00Z,Bologna FC 1909,Juventus FC,,
35,2025-05-04T00:00:00Z,Cagliari Calcio,Udinese Calcio,,
35,2025-05-04T00:00:00Z,Empoli FC,SS Lazio,,
35,2025-05-04T00:00:00Z,Genoa CFC,AC Milan,,
35,2025-05-04T00:00:00Z,FC Internazionale Milano,Hellas Verona FC,,
35,2025-05-04T00:00:00Z,US Lecce,SSC Napoli,,
35,2025-05-04T00:00:00Z,AC Monza,Atalanta BC,,
35,2025-05-04T00:00:00Z,Parma Calcio 1913,Como 1907,,
35,2025-05-04T00:00:00Z,AS Roma,ACF Fiorentina,,
35,2025-05-04T00:00:00Z,Torino FC,Venezia FC,,
36,2025-05-11T00:00:00Z,Atalanta BC,AS Roma,,
36,2025-05-11T00:00:00Z,Como 1907,Cagliari Calcio,,
36,2025-05-11T00:00:00Z,Empoli FC,Parma Calcio 1913,,
