Matchday,Date,Home Team,Away Team,Home Score,Away Score
17,2025-01-28T19:00:00Z,Heracles Almelo,FC Groningen,1.0,1.0
21,2025-01-31T19:00:00Z,NAC Breda,Heracles Almelo,1.0,1.0
21,2025-02-01T17:45:00Z,PEC Zwolle,FC Utrecht,3.0,3.0
21,2025-02-01T19:00:00Z,SC Heerenveen,Fortuna Sittard,2.0,2.0
21,2025-02-01T20:00:00Z,NEC,PSV,3.0,3.0
21,2025-02-02T11:15:00Z,Almere City FC,RKC Waalwijk,1.0,4.0
21,2025-02-02T13:30:00Z,AFC Ajax,Feyenoord Rotterdam,2.0,1.0
21,2025-02-02T13:30:00Z,Go Ahead Eagles,FC Twente '65,2.0,2.0
21,2025-02-02T15:45:00Z,Sparta Rotterdam,FC Groningen,1.0,0.0
21,2025-02-02T19:00:00Z,Willem II Tilburg,AZ,0.0,2.0
22,2025-02-08T15:30:00Z,Heracles Almelo,Go Ahead Eagles,4.0,2.0
22,2025-02-08T17:45:00Z,PSV,Willem II Tilburg,1.0,1.0
22,2025-02-08T19:00:00Z,FC Groningen,NEC,2.0,1.0
22,2025-02-08T20:00:00Z,Feyenoord Rotterdam,Sparta Rotterdam,3.0,0.0
22,2025-02-09T11:15:00Z,FC Utrecht,Almere City FC,0.0,1.0
22,2025-02-09T13:30:00Z,Fortuna Sittard,AFC Ajax,0.0,2.0
22,2025-02-09T13:30:00Z,RKC Waalwijk,NAC Breda,5.0,0.0
22,2025-02-09T15:45:00Z,AZ,PEC Zwolle,2.0,0.0
22,2025-02-09T15:45:00Z,SC Heerenveen,FC Twente '65,3.0,3.0
23,2025-02-14T19:00:00Z,Go Ahead Eagles,Sparta Rotterdam,1.0,0.0
23,2025-02-15T15:30:00Z,PSV,FC Utrecht,2.0,2.0
23,2025-02-15T17:45:00Z,NAC Breda,Feyenoord Rotterdam,0.0,0.0
23,2025-02-15T20:00:00Z,Willem II Tilburg,FC Groningen,1.0,3.0
23,2025-02-16T11:15:00Z,NEC,Almere City FC,2.0,2.0
23,2025-02-16T13:30:00Z,PEC Zwolle,SC Heerenveen,1.0,1.0
23,2025-02-16T13:30:00Z,FC Twente '65,RKC Waalwijk,2.0,0.0
23,2025-02-16T15:45:00Z,AFC Ajax,Heracles Almelo,4.0,0.0
20,2025-02-22T19:00:00Z,Feyenoord Rotterdam,Almere City FC,2.0,1.0
20,2025-02-23T13:30:00Z,AFC Ajax,Go Ahead Eagles,2.0,0.0
20,2025-02-23T13:30:00Z,FC Twente '65,NEC,2.0,0.0
23,2025-02-23T15:45:00Z,AZ,Fortuna Sittard,1.0,0.0
24,2025-02-28T19:00:00Z,RKC Waalwijk,Fortuna Sittard,,
24,2025-03-01T15:30:00Z,FC Utrecht,NAC Breda,,
24,2025-03-01T17:45:00Z,Go Ahead Eagles,PSV,,
24,2025-03-01T19:00:00Z,FC Groningen,FC Twente '65,,
24,2025-03-01T20:00:00Z,Feyenoord Rotterdam,NEC,,
24,2025-03-02T11:15:00Z,SC Heerenveen,AZ,,
24,2025-03-02T13:30:00Z,Almere City FC,AFC Ajax,,
24,2025-03-02T13:30:00Z,Heracles Almelo,PEC Zwolle,,
24,2025-03-02T15:45:00Z,Sparta Rotterdam,Willem II Tilburg,,
25,2025-03-07T19:00:00Z,NAC Breda,Sparta Rotterdam,,
25,2025-03-08T15:30:00Z,Fortuna Sittard,Heracles Almelo,,
25,2025-03-08T17:45:00Z,Feyenoord Rotterdam,FC Groningen,,
25,2025-03-08T20:00:00Z,PSV,SC Heerenveen,,
25,2025-03-09T11:15:00Z,Willem II Tilburg,FC Utrecht,,
25,2025-03-09T13:30:00Z,NEC,Go Ahead Eagles,,
25,2025-03-09T13:30:00Z,PEC Zwolle,AFC Ajax,,
25,2025-03-09T15:45:00Z,AZ,RKC Waalwijk,,
25,2025-03-09T19:00:00Z,FC Twente '65,Almere City FC,,
26,2025-03-14T19:00:00Z,Almere City FC,NAC Breda,,
26,2025-03-15T15:30:00Z,FC Utrecht,NEC,,
26,2025-03-15T17:45:00Z,Sparta Rotterdam,PEC Zwolle,,
26,2025-03-15T19:00:00Z,RKC Waalwijk,PSV,,
26,2025-03-15T20:00:00Z,SC Heerenveen,Heracles Almelo,,
26,2025-03-16T11:15:00Z,Go Ahead Eagles,Willem II Tilburg,,
26,2025-03-16T13:30:00Z,FC Groningen,Fortuna Sittard,,
26,2025-03-16T13:30:00Z,FC Twente '65,Feyenoord Rotterdam,,
26,2025-03-16T15:45:00Z,AFC Ajax,AZ,,
27,2025-03-29T15:30:00Z,NAC Breda,FC Groningen,,
27,2025-03-29T17:45:00Z,Fortuna Sittard,Sparta Rotterdam,,
27,2025-03-29T17:45:00Z,Willem II Tilburg,Almere City FC,,
27,2025-03-29T20:00:00Z,NEC,AZ,,
27,2025-03-29T20:00:00Z,PEC Zwolle,RKC Waalwijk,,
27,2025-03-30T10:15:00Z,FC Utrecht,SC Heerenveen,,
27,2025-03-30T12:30:00Z,Heracles Almelo,FC Twente '65,,
27,2025-03-30T12:30:00Z,PSV,AFC Ajax,,
27,2025-03-30T14:45:00Z,Feyenoord Rotterdam,Go Ahead Eagles,,
28,2025-04-04T18:00:00Z,SC Heerenveen,Willem II Tilburg,,
28,2025-04-05T14:30:00Z,AZ,Feyenoord Rotterdam,,
28,2025-04-05T16:45:00Z,FC Twente '65,Fortuna Sittard,,
28,2025-04-05T18:00:00Z,FC Groningen,PSV,,
28,2025-04-05T19:00:00Z,Almere City FC,PEC Zwolle,,
28,2025-04-06T10:15:00Z,RKC Waalwijk,Heracles Almelo,,
28,2025-04-06T12:30:00Z,Go Ahead Eagles,FC Utrecht,,
28,2025-04-06T12:30:00Z,Sparta Rotterdam,NEC,,
28,2025-04-06T14:45:00Z,AFC Ajax,NAC Breda,,
29,2025-04-11T18:00:00Z,NEC,RKC Waalwijk,,
29,2025-04-12T14:30:00Z,Fortuna Sittard,Feyenoord Rotterdam,,
29,2025-04-12T16:45:00Z,Sparta Rotterdam,SC Heerenveen,,
29,2025-04-12T18:00:00Z,PSV,Almere City FC,,
29,2025-04-12T19:00:00Z,NAC Breda,Go Ahead Eagles,,
29,2025-04-13T10:15:00Z,FC Utrecht,FC Groningen,,
29,2025-04-13T12:30:00Z,Heracles Almelo,AZ,,
29,2025-04-13T12:30:00Z,PEC Zwolle,FC Twente '65,,
29,2025-04-13T14:45:00Z,Willem II Tilburg,AFC Ajax,,
30,2025-04-23T18:00:00Z,FC Groningen,Heracles Almelo,,
30,2025-04-24T16:45:00Z,AZ,NAC Breda,,
30,2025-04-24T19:00:00Z,FC Twente '65,PSV,,
30,2025-04-25T16:45:00Z,RKC Waalwijk,FC Utrecht,,
30,2025-04-25T19:00:00Z,Feyenoord Rotterdam,PEC Zwolle,,
30,2025-04-27T10:15:00Z,Fortuna Sittard,Willem II Tilburg,,
30,2025-04-27T12:30:00Z,AFC Ajax,Sparta Rotterdam,,
30,2025-04-27T12:30:00Z,SC Heerenveen,NEC,,
30,2025-04-27T14:45:00Z,Almere City FC,Go Ahead Eagles,,
31,2025-05-03T14:30:00Z,NEC,Willem II Tilburg,,
31,2025-05-03T16:45:00Z,Heracles Almelo,Feyenoord Rotterdam,,
31,2025-05-03T18:00:00Z,FC Groningen,RKC Waalwijk,,
31,2025-05-03T19:00:00Z,PSV,Fortuna Sittard,,
31,2025-05-04T00:00:00Z,FC Utrecht,AFC Ajax,,
31,2025-05-04T10:15:00Z,NAC Breda,PEC Zwolle,,
31,2025-05-04T12:30:00Z,Go Ahead Eagles,AZ,,
31,2025-05-04T12:30:00Z,Sparta Rotterdam,FC Twente '65,,
31,2025-05-05T12:30:00Z,SC Heerenveen,Almere City FC,,
32,2025-05-09T18:00:00Z,Willem II Tilburg,Heracles Almelo,,
32,2025-05-10T14:30:00Z,RKC Waalwijk,SC Heerenveen,,
32,2025-05-10T16:45:00Z,Fortuna Sittard,NAC Breda,,
32,2025-05-10T19:00:00Z,Almere City FC,Sparta Rotterdam,,
32,2025-05-11T10:15:00Z,PEC Zwolle,Go Ahead Eagles,,
32,2025-05-11T12:30:00Z,Feyenoord Rotterdam,PSV,,
32,2025-05-11T12:30:00Z,FC Twente '65,FC Utrecht,,
32,2025-05-11T14:45:00Z,AFC Ajax,NEC,,
32,2025-05-11T14:45:00Z,AZ,FC Groningen,,
33,2025-05-14T18:00:00Z,Almere City FC,Fortuna Sittard,,
33,2025-05-14T18:00:00Z,FC Groningen,AFC Ajax,,
33,2025-05-14T18:00:00Z,FC Utrecht,Sparta Rotterdam,,
33,2025-05-14T18:00:00Z,Feyenoord Rotterdam,RKC Waalwijk,,
33,2025-05-14T18:00:00Z,Go Ahead Eagles,SC Heerenveen,,
33,2025-05-14T18:00:00Z,NEC,NAC Breda,,
33,2025-05-14T18:00:00Z,PSV,Heracles Almelo,,
33,2025-05-14T18:00:00Z,FC Twente '65,AZ,,
33,2025-05-14T18:00:00Z,Willem II Tilburg,PEC Zwolle,,
34,2025-05-18T12:30:00Z,AFC Ajax,FC Twente '65,,
34,2025-05-18T12:30:00Z,AZ,Almere City FC,,
34,2025-05-18T12:30:00Z,Fortuna Sittard,FC Utrecht,,
34,2025-05-18T12:30:00Z,Heracles Almelo,NEC,,
34,2025-05-18T12:30:00Z,NAC Breda,Willem II Tilburg,,
34,2025-05-18T12:30:00Z,PEC Zwolle,FC Groningen,,
34,2025-05-18T12:30:00Z,RKC Waalwijk,Go Ahead Eagles,,
34,2025-05-18T12:30:00Z,SC Heerenveen,Feyenoord Rotterdam,,
34,2025-05-18T12:30:00Z,Sparta Rotterdam,PSV,,
